model,pose,f1,precision,recall,support
KNeighborsClassifier,durvasasana,0.7826086956521738,0.8181818181818182,0.75,12.0
AdaBoostClassifier,dwi pada viparita dandasana,0.0,0.0,0.0,17.0
GaussianNB,dwi pada viparita dandasana,0.5555555555555555,0.5263157894736842,0.5882352941176471,17.0
QuadraticDiscriminantAnalysis,dwi pada viparita dandasana,0.6153846153846153,0.8888888888888888,0.47058823529411764,17.0
DecisionTreeClassifier,dwi pada viparita dandasana,0.7096774193548386,0.7857142857142857,0.6470588235294118,17.0
SVC,dwi pada viparita dandasana,0.8888888888888888,0.8421052631578947,0.9411764705882353,17.0
MLPClassifier,dwi pada viparita dandasana,0.9090909090909091,0.9375,0.8823529411764706,17.0
RandomForestClassifier,dwi pada viparita dandasana,0.9142857142857143,0.8888888888888888,0.9411764705882353,17.0
KNeighborsClassifier,dwi pada viparita dandasana,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
SVC,eka pada koundinyanasana i,0.0,0.0,0.0,15.0
DecisionTreeClassifier,eka pada koundinyanasana i,0.0,0.0,0.0,15.0
RandomForestClassifier,eka pada koundinyanasana i,0.0,0.0,0.0,15.0
AdaBoostClassifier,eka pada koundinyanasana i,0.0,0.0,0.0,15.0
QuadraticDiscriminantAnalysis,eka pada koundinyanasana i,0.09090909090909091,0.14285714285714285,0.06666666666666667,15.0
GaussianNB,eka pada koundinyanasana i,0.09523809523809522,0.16666666666666666,0.06666666666666667,15.0
MLPClassifier,eka pada koundinyanasana i,0.2,0.4,0.13333333333333333,15.0
KNeighborsClassifier,eka pada koundinyanasana i,0.24,0.3,0.2,15.0
DecisionTreeClassifier,eka pada koundinyanasana ii,0.0,0.0,0.0,17.0
AdaBoostClassifier,eka pada koundinyanasana ii,0.0,0.0,0.0,17.0
GaussianNB,eka pada koundinyanasana ii,0.15999999999999998,0.25,0.11764705882352941,17.0
RandomForestClassifier,eka pada koundinyanasana ii,0.2580645161290323,0.2857142857142857,0.23529411764705882,17.0
QuadraticDiscriminantAnalysis,eka pada koundinyanasana ii,0.28571428571428575,0.1956521739130435,0.5294117647058824,17.0
MLPClassifier,eka pada koundinyanasana ii,0.45714285714285713,0.4444444444444444,0.47058823529411764,17.0
SVC,eka pada koundinyanasana ii,0.4761904761904762,0.4,0.5882352941176471,17.0
KNeighborsClassifier,eka pada koundinyanasana ii,0.48648648648648646,0.45,0.5294117647058824,17.0
AdaBoostClassifier,eka pada rajakapotasana,0.0,0.0,0.0,13.0
QuadraticDiscriminantAnalysis,eka pada rajakapotasana,0.0,0.0,0.0,13.0
KNeighborsClassifier,eka pada rajakapotasana,0.3636363636363637,0.4444444444444444,0.3076923076923077,13.0
DecisionTreeClassifier,eka pada rajakapotasana,0.4,0.4166666666666667,0.38461538461538464,13.0
RandomForestClassifier,eka pada rajakapotasana,0.41666666666666663,0.45454545454545453,0.38461538461538464,13.0
SVC,eka pada rajakapotasana,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
MLPClassifier,eka pada rajakapotasana,0.5925925925925927,0.5714285714285714,0.6153846153846154,13.0
GaussianNB,eka pada rajakapotasana,0.5925925925925927,0.5714285714285714,0.6153846153846154,13.0
AdaBoostClassifier,eka pada rajakapotasana ii,0.0,0.0,0.0,17.0
QuadraticDiscriminantAnalysis,eka pada rajakapotasana ii,0.20512820512820512,0.13114754098360656,0.47058823529411764,17.0
DecisionTreeClassifier,eka pada rajakapotasana ii,0.26666666666666666,0.3076923076923077,0.23529411764705882,17.0
MLPClassifier,eka pada rajakapotasana ii,0.30769230769230765,0.4444444444444444,0.23529411764705882,17.0
KNeighborsClassifier,eka pada rajakapotasana ii,0.33333333333333337,0.38461538461538464,0.29411764705882354,17.0
GaussianNB,eka pada rajakapotasana ii,0.39999999999999997,0.3888888888888889,0.4117647058823529,17.0
SVC,eka pada rajakapotasana ii,0.43749999999999994,0.4666666666666667,0.4117647058823529,17.0
RandomForestClassifier,eka pada rajakapotasana ii,0.48484848484848486,0.5,0.47058823529411764,17.0
AdaBoostClassifier,ganda bherundasana,0.0,0.0,0.0,12.0
QuadraticDiscriminantAnalysis,ganda bherundasana,0.0,0.0,0.0,12.0
GaussianNB,ganda bherundasana,0.28571428571428575,0.25,0.3333333333333333,12.0
DecisionTreeClassifier,ganda bherundasana,0.5217391304347826,0.5454545454545454,0.5,12.0
KNeighborsClassifier,ganda bherundasana,0.5263157894736842,0.7142857142857143,0.4166666666666667,12.0
SVC,ganda bherundasana,0.5263157894736842,0.7142857142857143,0.4166666666666667,12.0
MLPClassifier,ganda bherundasana,0.6086956521739131,0.6363636363636364,0.5833333333333334,12.0
RandomForestClassifier,ganda bherundasana,0.7826086956521738,0.8181818181818182,0.75,12.0
AdaBoostClassifier,garbha pindasana,0.0,0.0,0.0,11.0
QuadraticDiscriminantAnalysis,garbha pindasana,0.0,0.0,0.0,11.0
DecisionTreeClassifier,garbha pindasana,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
MLPClassifier,garbha pindasana,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
GaussianNB,garbha pindasana,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
KNeighborsClassifier,garbha pindasana,0.8421052631578948,1.0,0.7272727272727273,11.0
SVC,garbha pindasana,0.8571428571428572,0.9,0.8181818181818182,11.0
RandomForestClassifier,garbha pindasana,0.8695652173913043,0.8333333333333334,0.9090909090909091,11.0
AdaBoostClassifier,garudasana,0.0,0.0,0.0,23.0
DecisionTreeClassifier,garudasana,0.6511627906976744,0.7,0.6086956521739131,23.0
QuadraticDiscriminantAnalysis,garudasana,0.7407407407407407,0.6451612903225806,0.8695652173913043,23.0
SVC,garudasana,0.8076923076923076,0.7241379310344828,0.9130434782608695,23.0
RandomForestClassifier,garudasana,0.84,0.7777777777777778,0.9130434782608695,23.0
KNeighborsClassifier,garudasana,0.8749999999999999,0.84,0.9130434782608695,23.0
MLPClassifier,garudasana,0.8749999999999999,0.84,0.9130434782608695,23.0
GaussianNB,garudasana,0.9166666666666666,0.88,0.9565217391304348,23.0
AdaBoostClassifier,gomukhasana,0.0,0.0,0.0,22.0
QuadraticDiscriminantAnalysis,gomukhasana,0.8301886792452831,0.7096774193548387,1.0,22.0
DecisionTreeClassifier,gomukhasana,0.8695652173913043,0.8333333333333334,0.9090909090909091,22.0
GaussianNB,gomukhasana,0.8695652173913043,0.8333333333333334,0.9090909090909091,22.0
SVC,gomukhasana,0.888888888888889,0.8695652173913043,0.9090909090909091,22.0
KNeighborsClassifier,gomukhasana,0.9130434782608695,0.875,0.9545454545454546,22.0
MLPClassifier,gomukhasana,0.9361702127659575,0.88,1.0,22.0
RandomForestClassifier,gomukhasana,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
AdaBoostClassifier,halasana,0.0,0.0,0.0,20.0
DecisionTreeClassifier,halasana,0.7142857142857143,0.6818181818181818,0.75,20.0
KNeighborsClassifier,halasana,0.7647058823529412,0.9285714285714286,0.65,20.0
QuadraticDiscriminantAnalysis,halasana,0.7647058823529412,0.9285714285714286,0.65,20.0
GaussianNB,halasana,0.8,0.9333333333333333,0.7,20.0
MLPClassifier,halasana,0.8108108108108107,0.8823529411764706,0.75,20.0
SVC,halasana,0.8571428571428571,1.0,0.75,20.0
RandomForestClassifier,halasana,0.9189189189189189,1.0,0.85,20.0
AdaBoostClassifier,hanumanasana,0.0,0.0,0.0,10.0
QuadraticDiscriminantAnalysis,hanumanasana,0.0,0.0,0.0,10.0
DecisionTreeClassifier,hanumanasana,0.4444444444444445,0.5,0.4,10.0
RandomForestClassifier,hanumanasana,0.64,0.5333333333333333,0.8,10.0
MLPClassifier,hanumanasana,0.6666666666666665,0.75,0.6,10.0
KNeighborsClassifier,hanumanasana,0.7272727272727272,0.6666666666666666,0.8,10.0
