Model,Pose,CvFold,F1,Precision,Recall,Support
DecisionTreeClassifier,anantasana,2,0.7000000000000001,0.5833333333333334,0.875,8.0
GaussianNB,anantasana,0,0.7272727272727274,0.6153846153846154,0.8888888888888888,9.0
DecisionTreeClassifier,anantasana,0,0.7368421052631577,0.7,0.7777777777777778,9.0
KNeighborsClassifier,anantasana,4,0.75,0.8571428571428571,0.6666666666666666,9.0
KNeighborsClassifier,anantasana,2,0.761904761904762,0.6153846153846154,1.0,8.0
KNeighborsClassifier,anantasana,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
DecisionTreeClassifier,anantasana,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
MLPClassifier,anantasana,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
GaussianNB,anantasana,2,0.8,0.6666666666666666,1.0,8.0
GaussianNB,anantasana,3,0.8181818181818181,0.6923076923076923,1.0,9.0
RandomForestClassifier,anantasana,3,0.823529411764706,0.875,0.7777777777777778,9.0
MLPClassifier,anantasana,2,0.8421052631578948,0.7272727272727273,1.0,8.0
MLPClassifier,anantasana,0,0.8571428571428571,0.75,1.0,9.0
RandomForestClassifier,anantasana,1,0.8571428571428571,1.0,0.75,8.0
MLPClassifier,anantasana,1,0.8571428571428571,1.0,0.75,8.0
KNeighborsClassifier,anantasana,1,0.875,0.875,0.875,8.0
SVC,anantasana,3,0.8750000000000001,1.0,0.7777777777777778,9.0
RandomForestClassifier,anantasana,4,0.8750000000000001,1.0,0.7777777777777778,9.0
SVC,anantasana,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
SVC,anantasana,2,0.888888888888889,0.8,1.0,8.0
SVC,anantasana,1,0.9333333333333333,1.0,0.875,8.0
KNeighborsClassifier,anantasana,0,0.9411764705882353,1.0,0.8888888888888888,9.0
RandomForestClassifier,anantasana,0,0.9411764705882353,1.0,0.8888888888888888,9.0
RandomForestClassifier,anantasana,2,0.9411764705882353,0.8888888888888888,1.0,8.0
AdaBoostClassifier,anjaneyasana,0,0.0,0.0,0.0,13.0
AdaBoostClassifier,anjaneyasana,1,0.0,0.0,0.0,12.0
AdaBoostClassifier,anjaneyasana,2,0.0,0.0,0.0,13.0
AdaBoostClassifier,anjaneyasana,3,0.0,0.0,0.0,13.0
AdaBoostClassifier,anjaneyasana,4,0.0,0.0,0.0,13.0
SVC,anjaneyasana,3,0.09090909090909093,0.1111111111111111,0.07692307692307693,13.0
DecisionTreeClassifier,anjaneyasana,2,0.18181818181818185,0.2222222222222222,0.15384615384615385,13.0
GaussianNB,anjaneyasana,4,0.25,0.6666666666666666,0.15384615384615385,13.0
GaussianNB,anjaneyasana,3,0.2857142857142857,0.375,0.23076923076923078,13.0
SVC,anjaneyasana,1,0.34782608695652173,0.36363636363636365,0.3333333333333333,12.0
GaussianNB,anjaneyasana,2,0.3636363636363637,0.4444444444444444,0.3076923076923077,13.0
MLPClassifier,anjaneyasana,3,0.375,1.0,0.23076923076923078,13.0
GaussianNB,anjaneyasana,0,0.380952380952381,0.5,0.3076923076923077,13.0
DecisionTreeClassifier,anjaneyasana,1,0.4,0.30434782608695654,0.5833333333333334,12.0
KNeighborsClassifier,anjaneyasana,2,0.41379310344827586,0.375,0.46153846153846156,13.0
SVC,anjaneyasana,2,0.4242424242424242,0.35,0.5384615384615384,13.0
QuadraticDiscriminantAnalysis,anjaneyasana,1,0.4285714285714285,0.3,0.75,12.0
MLPClassifier,anjaneyasana,2,0.4347826086956522,0.5,0.38461538461538464,13.0
SVC,anjaneyasana,4,0.4347826086956522,0.5,0.38461538461538464,13.0
QuadraticDiscriminantAnalysis,anjaneyasana,2,0.4666666666666667,0.4117647058823529,0.5384615384615384,13.0
GaussianNB,anjaneyasana,1,0.47058823529411764,0.8,0.3333333333333333,12.0
QuadraticDiscriminantAnalysis,anjaneyasana,3,0.47368421052631576,0.36,0.6923076923076923,13.0
MLPClassifier,anjaneyasana,1,0.4761904761904762,0.5555555555555556,0.4166666666666667,12.0
DecisionTreeClassifier,anjaneyasana,0,0.4827586206896552,0.4375,0.5384615384615384,13.0
KNeighborsClassifier,anjaneyasana,1,0.4827586206896552,0.4117647058823529,0.5833333333333334,12.0
RandomForestClassifier,anjaneyasana,1,0.4827586206896552,0.4117647058823529,0.5833333333333334,12.0
SVC,anjaneyasana,0,0.5,0.4666666666666667,0.5384615384615384,13.0
QuadraticDiscriminantAnalysis,anjaneyasana,4,0.5,0.391304347826087,0.6923076923076923,13.0
MLPClassifier,anjaneyasana,0,0.5217391304347826,0.6,0.46153846153846156,13.0
DecisionTreeClassifier,anjaneyasana,4,0.5217391304347826,0.6,0.46153846153846156,13.0
QuadraticDiscriminantAnalysis,anjaneyasana,0,0.5294117647058824,0.42857142857142855,0.6923076923076923,13.0
KNeighborsClassifier,anjaneyasana,3,0.5833333333333334,0.6363636363636364,0.5384615384615384,13.0
DecisionTreeClassifier,anjaneyasana,3,0.5925925925925927,0.5714285714285714,0.6153846153846154,13.0
KNeighborsClassifier,anjaneyasana,0,0.5999999999999999,0.5294117647058824,0.6923076923076923,13.0
RandomForestClassifier,anjaneyasana,3,0.6363636363636364,0.7777777777777778,0.5384615384615384,13.0
KNeighborsClassifier,anjaneyasana,4,0.6363636363636364,0.7777777777777778,0.5384615384615384,13.0
RandomForestClassifier,anjaneyasana,0,0.6428571428571429,0.6,0.6923076923076923,13.0
RandomForestClassifier,anjaneyasana,2,0.6666666666666666,0.6428571428571429,0.6923076923076923,13.0
MLPClassifier,anjaneyasana,4,0.7500000000000001,0.8181818181818182,0.6923076923076923,13.0
RandomForestClassifier,anjaneyasana,4,0.7586206896551724,0.6875,0.8461538461538461,13.0
AdaBoostClassifier,ardha bhekasana,0,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,ardha bhekasana,0,0.0,0.0,0.0,8.0
AdaBoostClassifier,ardha bhekasana,1,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,ardha bhekasana,1,0.0,0.0,0.0,8.0
AdaBoostClassifier,ardha bhekasana,2,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,ardha bhekasana,2,0.0,0.0,0.0,8.0
AdaBoostClassifier,ardha bhekasana,3,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,ardha bhekasana,3,0.0,0.0,0.0,8.0
AdaBoostClassifier,ardha bhekasana,4,0.0,0.0,0.0,8.0
QuadraticDiscriminantAnalysis,ardha bhekasana,4,0.0,0.0,0.0,8.0
DecisionTreeClassifier,ardha bhekasana,2,0.14285714285714288,0.16666666666666666,0.125,8.0
DecisionTreeClassifier,ardha bhekasana,1,0.2857142857142857,0.23076923076923078,0.375,8.0
DecisionTreeClassifier,ardha bhekasana,0,0.28571428571428575,0.3333333333333333,0.25,8.0
RandomForestClassifier,ardha bhekasana,4,0.36363636363636365,0.6666666666666666,0.25,8.0
GaussianNB,ardha bhekasana,1,0.45454545454545453,0.35714285714285715,0.625,8.0
GaussianNB,ardha bhekasana,2,0.47058823529411764,0.4444444444444444,0.5,8.0
GaussianNB,ardha bhekasana,0,0.5217391304347827,0.4,0.75,8.0
DecisionTreeClassifier,ardha bhekasana,3,0.5263157894736842,0.45454545454545453,0.625,8.0
SVC,ardha bhekasana,2,0.5714285714285715,0.6666666666666666,0.5,8.0
MLPClassifier,ardha bhekasana,2,0.5714285714285715,0.6666666666666666,0.5,8.0
GaussianNB,ardha bhekasana,4,0.5882352941176471,0.5555555555555556,0.625,8.0
SVC,ardha bhekasana,1,0.6153846153846154,0.8,0.5,8.0
DecisionTreeClassifier,ardha bhekasana,4,0.6153846153846154,0.8,0.5,8.0
KNeighborsClassifier,ardha bhekasana,2,0.625,0.625,0.625,8.0
RandomForestClassifier,ardha bhekasana,1,0.6666666666666666,0.7142857142857143,0.625,8.0
RandomForestClassifier,ardha bhekasana,2,0.6666666666666666,0.7142857142857143,0.625,8.0
